MovieID,Title,RatingsNum,AvgRating
2858,American Beauty (1999),3428,4.3173862310385065
260,Star Wars: Episode IV - A New Hope (1977),2991,4.453694416583082
2028,Saving Private Ryan (1998),2653,4.337353938937053
2571,"Matrix, The (1999)",2590,4.315830115830116
593,"Silence of the Lambs, The (1991)",2578,4.3518231186966645
1198,Raiders of the Lost Ark (1981),2514,4.477724741447892
2762,"Sixth Sense, The (1999)",2459,4.406262708418057
1197,"Princess Bride, The (1987)",2318,4.3037100949094045
527,Schindler's List (1993),2304,4.510416666666667
318,"Shawshank Redemption, The (1994)",2227,4.554557700942973
